# WINDOW 	MAX PSD	(dB);	COHERENT GAIN	(dB);	NOISE POWER BW	(dB);	NOMALIZATION FACTOR	(dB);	
uniform          	1.000000 	0.000000;	1.000000 	0.000000;	1.000000 	0.000000;	1.000000 	0.000000;	
Hamming          	0.344493 	-4.628193;	0.539993 	-5.352238;	1.153561 	0.620407;	0.397394 	-4.007787;	
Hann             	0.312493 	-5.051593;	0.499992 	-6.020732;	1.200007 	0.791839;	0.374994 	-4.259754;	
Tukey            	0.607518 	-2.164409;	0.749989 	-2.498907;	1.131637 	0.537070;	0.687490 	-1.627339;	
cosine           	0.450306 	-3.464920;	0.636610 	-3.922530;	1.110338 	0.454554;	0.499992 	-3.010366;	
Lanczos          	0.398433 	-3.996450;	0.589481 	-4.590606;	1.132951 	0.542112;	0.451405 	-3.454338;	
Bartlett         	0.291058 	-5.360211;	0.500000 	-6.020600;	1.145231 	0.588932;	0.333328 	-4.771279;	
Triangular       	0.291064 	-5.360116;	0.500008 	-6.020467;	1.145224 	0.588904;	0.333333 	-4.771213;	
Gauss            	0.232384 	-6.337942;	0.416637 	-7.604837;	1.271164 	1.042016;	0.295398 	-5.295925;	
Bartlett-Hann    	0.306940 	-5.129470;	0.499994 	-6.020701;	1.185759 	0.739963;	0.363956 	-4.389506;	
Blackman         	0.238895 	-6.217934;	0.419994 	-7.535147;	1.275019 	1.055167;	0.304595 	-5.162767;	
Kaiser           	0.251957 	-5.986743;	0.435741 	-7.215440;	1.255278 	0.987400;	0.316276 	-4.999343;	
Nuttall          	0.185955 	-7.305914;	0.355763 	-8.976795;	1.375735 	1.385349;	0.255825 	-5.920566;	
Blackman-Harris  	0.188304 	-7.251404;	0.358745 	-8.904294;	1.369909 	1.366918;	0.257959 	-5.884486;	
Blackman-Nuttall 	0.192011 	-7.166737;	0.363576 	-8.788087;	1.360450 	1.336826;	0.261221 	-5.829912;	
flat top         	0.089691 	-10.472529;	0.215505 	-13.330866;	1.952305 	2.905477;	0.175103 	-7.567052;	

# WINDOW 	SUM ON 33 CENTRAL SIGNAL PSD BINS	(dB);	WINDOWED SIGNAL VARIANCE	(dB);	SIGNAL VARIANCE RATIO	(dB);	
uniform          	0.495337 	-3.050991;	0.499951 	-3.010722;	1.000000 	0.000000;	
Hamming          	0.198668 	-7.018730;	0.198700 	-7.018028;	0.397438 	-4.007306;	
Hann             	0.187497 	-7.270054;	0.187500 	-7.269987;	0.375036 	-4.259265;	
Tukey            	0.343745 	-4.637640;	0.343750 	-4.637573;	0.687567 	-1.626851;	
cosine           	0.249996 	-6.020674;	0.250000 	-6.020600;	0.500049 	-3.009878;	
Lanczos          	0.225702 	-6.464642;	0.225706 	-6.464572;	0.451456 	-3.453850;	
Bartlett         	0.166663 	-7.781603;	0.166667 	-7.781512;	0.333366 	-4.770789;	
Triangular       	0.166666 	-7.781537;	0.166669 	-7.781445;	0.333371 	-4.770723;	
Gauss            	0.147698 	-8.306242;	0.147701 	-8.306159;	0.295431 	-5.295437;	
Bartlett-Hann    	0.181978 	-7.399807;	0.181981 	-7.399740;	0.363997 	-4.389017;	
Blackman         	0.152298 	-8.173067;	0.152300 	-8.173001;	0.304630 	-5.162279;	
Kaiser           	0.158138 	-8.009643;	0.158140 	-8.009576;	0.316311 	-4.998854;	
Nuttall          	0.127913 	-8.930866;	0.127915 	-8.930799;	0.255854 	-5.920077;	
Blackman-Harris  	0.128980 	-8.894786;	0.128982 	-8.894720;	0.257988 	-5.883997;	
Blackman-Nuttall 	0.130611 	-8.840212;	0.130613 	-8.840145;	0.261251 	-5.829423;	
flat top         	0.087552 	-10.577352;	0.087553 	-10.577286;	0.175123 	-7.566564;	

# WINDOW 	SUM OFF NOISE PSD	(dB);	WINDOWED NOISE VARIANCE	(dB);	NOISE VARIANCE RATIO	(dB);	
uniform          	0.991880 	-0.035408;	0.991895 	-0.035342;	1.000000 	0.000000;	
Hamming          	0.392178 	-4.065164;	0.392181 	-4.065134;	0.395386 	-4.029792;	
Hann             	0.369958 	-4.318476;	0.369960 	-4.318456;	0.372983 	-4.283114;	
Tukey            	0.679250 	-1.679702;	0.679259 	-1.679644;	0.684810 	-1.644301;	
cosine           	0.493871 	-3.063863;	0.493877 	-3.063815;	0.497912 	-3.028473;	
Lanczos          	0.445693 	-3.509644;	0.445697 	-3.509604;	0.449339 	-3.474262;	
Bartlett         	0.328889 	-4.829506;	0.328892 	-4.829469;	0.331579 	-4.794127;	
Triangular       	0.328894 	-4.829439;	0.328897 	-4.829403;	0.331584 	-4.794060;	
Gauss            	0.291130 	-5.359127;	0.291130 	-5.359124;	0.293509 	-5.323782;	
Bartlett-Hann    	0.359071 	-4.448194;	0.359073 	-4.448170;	0.362007 	-4.412828;	
Blackman         	0.300231 	-5.225443;	0.300231 	-5.225441;	0.302684 	-5.190099;	
Kaiser           	0.311800 	-5.061241;	0.311800 	-5.061236;	0.314348 	-5.025893;	
Nuttall          	0.251946 	-5.986929;	0.251945 	-5.986941;	0.254004 	-5.951599;	
Blackman-Harris  	0.254058 	-5.950671;	0.254057 	-5.950683;	0.256133 	-5.915341;	
Blackman-Nuttall 	0.257287 	-5.895821;	0.257286 	-5.895832;	0.259389 	-5.860490;	
flat top         	0.172190 	-7.639918;	0.172189 	-7.639946;	0.173596 	-7.604604;	
